manufacturer_name,product_name,price,price_date
Hauck-Harber,"Product 1",21.5,2026-04-23
"Crooks and Sons","Product 2",7.3,2025-06-13
"Crooks and Sons","Product 2",87.58,2025-05-11
Simonis-Turner,"Product 3",36.6,2025-06-01
Simonis-Turner,"Product 3",78.04,2025-09-21
Simonis-Turner,"Product 3",9.72,2026-04-23
Simonis-Turner,"Product 3",56.38,2026-04-20
Simonis-Turner,"Product 3",20.94,2026-04-20
Krajcik-Kerluke,"Product 4",16.9,2026-04-23
Krajcik-Kerluke,"Product 4",89.98,2026-04-20
Krajcik-Kerluke,"Product 4",87.35,2026-04-20
"Feest PLC","Product 5",7.03,2025-07-25
"Feest PLC","Product 5",29.97,2025-03-27
"Price Ltd","Product 6",56.5,2025-07-06
"Price Ltd","Product 6",34.72,2025-03-01
"Price Ltd","Product 6",98.1,2026-04-20
"Price Ltd","Product 6",21.19,2026-04-20
"Kub Ltd","Product 7",37.29,2026-04-23
"Ondricka LLC","Product 8",9.32,2025-05-16
"Ondricka LLC","Product 8",50.99,2025-02-16
"Ondricka LLC","Product 8",38.31,2026-04-23
"Ondricka LLC","Product 8",98.74,2026-04-20
"Ondricka LLC","Product 9",39.84,2026-04-23
"Ondricka LLC","Product 9",71.12,2026-04-20
"Ondricka LLC","Product 9",39.23,2026-04-20
Torphy-Lowe,"Product 10",88.74,2025-01-02
Torphy-Lowe,"Product 10",43.28,2025-03-10
Torphy-Lowe,"Product 10",24.1,2026-04-23
Torphy-Lowe,"Product 10",99.1,2026-04-20
Olson-Walsh,"Product 11",39.41,2025-12-01
Olson-Walsh,"Product 11",3.76,2025-12-13
Olson-Walsh,"Product 11",44.77,2026-04-23
Olson-Walsh,"Product 11",18.57,2026-04-20
Olson-Walsh,"Product 11",76.63,2026-04-20
"Sanford, Beahan and Howell","Product 12",6.74,2025-02-20
"Sanford, Beahan and Howell","Product 12",23.62,2026-04-20
"Sanford, Beahan and Howell","Product 12",50.1,2026-04-20
"Feest PLC","Product 13",47.35,2026-04-20
"Feest PLC","Product 13",65.7,2026-04-20
"Thiel, Kirlin and Quigley","Product 14",86.93,2025-10-14
"Thiel, Kirlin and Quigley","Product 14",22.72,2025-11-09
"Thiel, Kirlin and Quigley","Product 14",59.11,2026-04-20
"Hackett, Willms and Zieme","Product 15",42.18,2025-12-16
"Hackett, Willms and Zieme","Product 15",25.44,2026-04-20
"Hackett, Willms and Zieme","Product 15",60.69,2026-04-20
Johnston-Herman,"Product 18",97.01,2026-04-20
Johnston-Herman,"Product 18",31.1,2026-04-20
"Price Ltd","Product 19",47.59,2026-04-23
"Price Ltd","Product 19",97.03,2026-04-20
"Price Ltd","Product 19",94.45,2026-04-20
Olson-Walsh,"Product 20",84.34,2026-04-23
Olson-Walsh,"Product 20",99.5,2026-04-20
Olson-Walsh,"Product 20",44.79,2026-04-20
Olson-Walsh,"Product 21",75.65,2026-04-23
Olson-Walsh,"Product 21",31.46,2026-04-20
"Schamberger and Sons","Product 22",37.75,2026-04-20
"Ondricka and Sons","Product 23",21.64,2025-04-23
"Ondricka and Sons","Product 23",71.25,2026-04-20
"Kub Ltd","Product 24",97.46,2025-01-06
"Kub Ltd","Product 24",25.3,2025-10-25
"Kub Ltd","Product 24",73.98,2026-04-20
"Kub Ltd","Product 24",85.81,2026-04-20
Windler-Gleichner,"Product 25",85.94,2026-04-20
Windler-Gleichner,"Product 25",5.19,2026-04-20
"Thiel, Kirlin and Quigley","Product 27",9.98,2025-02-23
"Thiel, Kirlin and Quigley","Product 27",24.98,2025-02-16
"Thiel, Kirlin and Quigley","Product 27",38.22,2026-04-23
"Ondricka, Rice and Homenick","Product 28",30.39,2025-12-01
"Ondricka, Rice and Homenick","Product 28",3.89,2025-12-02
"Dietrich, Kirlin and Nikolaus","Product 30",51.92,2025-07-16
"Dietrich, Kirlin and Nikolaus","Product 30",25.66,2025-06-27
"Dietrich, Kirlin and Nikolaus","Product 30",42.71,2026-04-23
"Dietrich, Kirlin and Nikolaus","Product 30",27.59,2026-04-20
"Feest PLC","Product 31",7.55,2026-04-23
"Feest PLC","Product 31",24.99,2026-04-20
"Feest PLC","Product 31",63.54,2026-04-20
"Hackett, Crooks and Bernier","Product 32",39.91,2025-08-16
"Hackett, Crooks and Bernier","Product 32",92.73,2025-07-21
"Hackett, Crooks and Bernier","Product 32",30.62,2026-04-23
"Hackett, Crooks and Bernier","Product 32",71.93,2026-04-20
"Davis, Bogan and Dicki","Product 33",35.28,2025-07-01
"Hackett, Willms and Zieme","Product 35",41.89,2026-04-20
"Hackett, Willms and Zieme","Product 35",66.36,2026-04-20
"Yundt, Hamill and Volkman","Product 36",91.86,2025-05-18
"Stiedemann, Feeney and Quigley","Product 37",28.31,2026-04-23
"Hackett, Willms and Zieme","Product 38",10.23,2026-04-20
"Hackett, Willms and Zieme","Product 38",42.59,2026-04-20
Mante-Boyer,"Product 39",44.12,2025-05-02
Mante-Boyer,"Product 39",57.05,2025-07-05
"Kub Ltd","Product 40",70.17,2025-03-12
"Kub Ltd","Product 40",58.26,2025-01-27
"Kub Ltd","Product 40",79.9,2026-04-23
"Kub Ltd","Product 40",59.82,2026-04-20
"Davis, Bogan and Dicki","Product 41",83,2026-04-20
"Larkin, Kuvalis and Blanda","Product 42",28.01,2026-04-23
Wehner-Rempel,"Product 43",54.44,2025-07-16
Wehner-Rempel,"Product 43",40.89,2026-04-23
Maggio-Gaylord,"Product 44",34.88,2025-07-28
Maggio-Gaylord,"Product 44",53.22,2025-10-04
Maggio-Gaylord,"Product 44",21.11,2026-04-23
Maggio-Gaylord,"Product 44",11.35,2026-04-20
"Ondricka and Sons","Product 45",64.72,2025-10-22
"Ondricka and Sons","Product 45",76.64,2025-07-06
"Ondricka and Sons","Product 45",62.94,2026-04-23
"Ondricka and Sons","Product 45",78.57,2026-04-20
"Ondricka and Sons","Product 45",25.88,2026-04-20
"Yundt, Hamill and Volkman","Product 46",22.63,2025-11-12
"Yundt, Hamill and Volkman","Product 46",63.37,2026-04-23
"Yundt, Hamill and Volkman","Product 46",46.65,2026-04-20
"Yundt, Hamill and Volkman","Product 46",79.54,2026-04-20
"Roob, Hudson and Lehner","Product 47",73.72,2026-04-23
"Roob, Hudson and Lehner","Product 47",73.05,2026-04-20
"Rice, Paucek and Kohler","Product 48",41.45,2025-06-19
"Rice, Paucek and Kohler","Product 48",53.16,2025-12-11
"Rice, Paucek and Kohler","Product 48",3.7,2026-04-20
"Rice, Paucek and Kohler","Product 48",72.73,2026-04-20
"Price Ltd","Product 49",99.22,2025-04-05
"Price Ltd","Product 49",69.67,2026-04-23
"Price Ltd","Product 49",8.8,2026-04-20
"Price Ltd","Product 49",5.32,2026-04-20
"Rice, Paucek and Kohler","Product 50",26.97,2026-04-23
"Altenwerth LLC","Product 51",47.46,2025-02-03
"Altenwerth LLC","Product 51",97.04,2025-02-03
"Altenwerth LLC","Product 51",42.29,2026-04-20
"Altenwerth LLC","Product 51",62.55,2026-04-20
"Kemmer, Gerlach and Becker","Product 52",87.1,2025-09-14
"Kemmer, Gerlach and Becker","Product 52",75.02,2025-03-13
"Kemmer, Gerlach and Becker","Product 52",67.72,2026-04-23
"Kemmer, Gerlach and Becker","Product 52",24.53,2026-04-20
"Kemmer, Gerlach and Becker","Product 52",95.48,2026-04-20
"Kub Ltd","Product 53",49.26,2025-04-25
Koss-Altenwerth,"Product 54",19.78,2025-01-04
"Ondricka LLC","Product 56",94.42,2025-04-24
"Ondricka LLC","Product 56",88.46,2025-03-02
"Ondricka LLC","Product 56",50.27,2026-04-23
"Ondricka LLC","Product 56",31.53,2026-04-20
"Harris Ltd","Product 57",97.43,2025-05-05
"Harris Ltd","Product 57",4.94,2025-05-04
"Harris Ltd","Product 57",50.97,2026-04-20
"Davis, Bogan and Dicki","Product 58",60.1,2025-03-15
"Davis, Bogan and Dicki","Product 58",94.75,2025-06-12
"Williamson Ltd","Product 59",9.43,2025-02-24
"Williamson Ltd","Product 59",70.09,2026-04-23
"Williamson Ltd","Product 59",79.01,2026-04-20
"Larkin, Kuvalis and Blanda","Product 60",47.34,2025-06-02
"Larkin, Kuvalis and Blanda","Product 60",76.45,2025-10-02
"Larkin, Kuvalis and Blanda","Product 60",23.69,2026-04-20
"Dietrich, Kirlin and Nikolaus","Product 61",25.78,2025-04-05
"Dietrich, Kirlin and Nikolaus","Product 61",69.76,2025-08-15
"Dietrich, Kirlin and Nikolaus","Product 61",17.03,2026-04-23
"Dietrich, Kirlin and Nikolaus","Product 61",86.13,2026-04-20
"Dietrich, Kirlin and Nikolaus","Product 61",51.89,2026-04-20
Mante-Boyer,"Product 62",51.46,2025-09-05
Krajcik-Kerluke,"Product 63",69.22,2025-06-17
Krajcik-Kerluke,"Product 63",81.85,2025-02-15
Krajcik-Kerluke,"Product 63",19.28,2026-04-23
Krajcik-Kerluke,"Product 63",18.83,2026-04-20
Krajcik-Kerluke,"Product 63",22.07,2026-04-20
"Crooks and Sons","Product 64",30.96,2026-04-20
"Ondricka, Rice and Homenick","Product 65",13.61,2026-04-20
"Roob, Hudson and Lehner","Product 66",71.79,2025-10-21
"Roob, Hudson and Lehner","Product 66",51.91,2026-04-20
"Roob, Hudson and Lehner","Product 66",75.42,2026-04-20
Flatley-Labadie,"Product 67",64.04,2025-10-19
Flatley-Labadie,"Product 67",38.34,2025-06-07
Flatley-Labadie,"Product 67",90.55,2026-04-23
Flatley-Labadie,"Product 67",30.43,2026-04-20
Flatley-Labadie,"Product 67",32.76,2026-04-20
"Auer Ltd","Product 68",26.17,2025-12-15
"Auer Ltd","Product 68",2.04,2025-10-15
"Auer Ltd","Product 68",15.33,2026-04-23
"Auer Ltd","Product 68",15.37,2026-04-20
Kshlerin-Von,"Product 69",45.88,2026-04-20
Kshlerin-Von,"Product 69",13.27,2026-04-20
Koss-Altenwerth,"Product 70",24.46,2025-06-22
Koss-Altenwerth,"Product 70",94.45,2026-04-23
Koss-Altenwerth,"Product 70",45.56,2026-04-20
Koss-Altenwerth,"Product 70",67.49,2026-04-20
Koss-Altenwerth,"Product 71",76.08,2026-04-20
"McCullough, Waters and Shields","Product 72",14.88,2025-10-26
"McCullough, Waters and Shields","Product 72",59.18,2026-04-23
"Crooks and Sons","Product 73",49.38,2025-09-14
"Crooks and Sons","Product 73",95.49,2026-04-20
"Crooks and Sons","Product 73",94.28,2026-04-20
"Yost Inc","Product 74",37.25,2026-04-23
"Williamson Ltd","Product 75",88.56,2026-04-20
"Kemmer, Gerlach and Becker","Product 76",82.21,2025-08-06
"Kemmer, Gerlach and Becker","Product 76",89.76,2025-04-04
"Kemmer, Gerlach and Becker","Product 76",54.14,2026-04-20
"Kemmer, Gerlach and Becker","Product 76",18.29,2026-04-20
"Kub Ltd","Product 77",44.8,2025-11-14
"Kub Ltd","Product 77",33.29,2026-04-23
"Kub Ltd","Product 77",49.99,2026-04-20
"Kub Ltd","Product 77",26.6,2026-04-20
"Rice, Paucek and Kohler","Product 78",65.14,2025-01-04
"Rice, Paucek and Kohler","Product 78",89.61,2025-08-18
"Rice, Paucek and Kohler","Product 78",6.94,2026-04-23
"Crooks and Sons","Product 79",13.69,2025-09-26
"Crooks and Sons","Product 79",41.57,2025-01-25
"Crooks and Sons","Product 79",5.53,2026-04-23
"Crooks and Sons","Product 79",9.96,2026-04-20
"Crooks and Sons","Product 79",17.5,2026-04-20
Kshlerin-Von,"Product 80",83.74,2025-01-08
Kshlerin-Von,"Product 80",59.16,2026-04-23
Kshlerin-Von,"Product 80",4.39,2026-04-20
Krajcik-Kerluke,"Product 81",38.2,2025-07-27
Krajcik-Kerluke,"Product 81",97.63,2026-04-23
Krajcik-Kerluke,"Product 81",90.56,2026-04-20
"Davis, Bogan and Dicki","Product 82",47.46,2025-09-11
"Davis, Bogan and Dicki","Product 82",82.75,2025-09-18
"Davis, Bogan and Dicki","Product 82",91.46,2026-04-23
"Davis, Bogan and Dicki","Product 82",56.67,2026-04-20
"Davis, Bogan and Dicki","Product 82",57.83,2026-04-20
"Bernhard, Glover and Mayert","Product 84",80.74,2026-04-20
"Rice, Paucek and Kohler","Product 85",22.41,2026-04-23
"Davis, Bogan and Dicki","Product 86",79.47,2025-12-05
"Davis, Bogan and Dicki","Product 86",9.85,2025-06-04
"Davis, Bogan and Dicki","Product 86",28.82,2026-04-23
"Price Ltd","Product 87",40.39,2026-04-23
"Larkin, Kuvalis and Blanda","Product 88",52.33,2025-04-25
"Larkin, Kuvalis and Blanda","Product 88",38.85,2025-08-05
"Larkin, Kuvalis and Blanda","Product 88",49.51,2026-04-20
"Larkin, Kuvalis and Blanda","Product 89",85.75,2026-04-23
"Larkin, Kuvalis and Blanda","Product 89",99.04,2026-04-20
"Davis, Bogan and Dicki","Product 90",28.83,2025-08-07
"Davis, Bogan and Dicki","Product 90",98.79,2025-06-15
"Davis, Bogan and Dicki","Product 90",75.53,2026-04-23
"Davis, Bogan and Dicki","Product 90",56.45,2026-04-20
"Davis, Bogan and Dicki","Product 90",84.47,2026-04-20
"Yost Inc","Product 91",17.28,2025-08-15
"Yost Inc","Product 91",25.23,2025-06-26
Torphy-Lowe,"Product 92",63.91,2026-04-20
Torphy-Lowe,"Product 92",90.21,2026-04-20
"Kuvalis, Yundt and Swift","Product 93",88.53,2025-08-04
"Kuvalis, Yundt and Swift","Product 93",71.86,2025-05-17
"Kuvalis, Yundt and Swift","Product 93",84.51,2026-04-23
